id,add,datetime,time_casa,time_fora,bethouse1,mercado1,valor1,odd1,aposta1,resultado1,bethouse2,mercado2,valor2,odd2,aposta2,resultado2,bethouse3,mercado3,valor3,odd3,aposta3,resultado3,lucro_estimado,lucro_per_estimado,lucroReal,lucro_perReal,esporte
93,2023-05-04 02:16:00,2023-05-05 02:00:00,Spartak Myjava,KFC Komarno,BetFair,TO2,1.5,2.6,8.97,loss,Pinnacle,TU2,1.5,1.74,13.4,win,,,,0.0,0.0,,0.95,4.25,0.95,0.0424675905230219,Soccer
94,2023-05-04 02:44:33,2023-05-05 02:30:00,Blau-Weiss Lohne,Kickers Emden,Pinnacle,AH1,-2.0,2.38,19.73,loss,FavBet,AH2,2.0,1.92,24.46,win,,,,0.0,0.0,,2.77,6.27,2.77,0.06268386512785698,Soccer
95,2023-05-04 02:47:25,2023-05-05 02:30:00,TuS Blau-Weis Lohne,BSV Kickers Emden,FavBet,TO2,1.0,5.2,2.68,loss,VBet,TU2,1.0,1.53,9.15,win,,,,0.0,0.0,,2.15,18.2,2.17,0.1834319526627219,Soccer
96,2023-05-04 02:49:06,2023-05-05 02:30:00,TuS Blau-Weis Lohne,BSV Kickers Emden,FavBet,ScoreBoth,,2.23,9.15,loss,VBet,Not,,2.15,9.5,win,,,,0.0,0.0,,1.75,9.46,1.78,0.09544235924932977,Soccer
97,2023-05-04 03:08:31,2023-05-04 14:30:00,Fabian Marozsan,Ben Shelton,VBet,AH2,-3.0,2.1,82.5,return,FavBet,AH1,3.0,2.09,82.57,return,,,,0.0,0.0,,7.85,4.75,0.0,0.0,Tennis
98,2023-05-04 03:15:58,2023-05-04 03:30:00,Quentin Halys,Arthur Fils,FavBet,Removal,12.5,4.55,11.5,loss,Bet365,TU,12.5,1.36,38.5,win,,,,0.0,0.0,,2.36,4.71,2.36,0.0472,Tennis
99,2023-05-04 03:27:12,2023-05-04 03:15:00,Gold Coast United (W),Olympic FC (W),Pinnacle,TU,4.0,2.03,21.39,win,BetFair,TO,3.5,1.82,12.11,loss,BetFair,TO,4.5,2.8,7.64,loss,2.29,5.55,2.28,0.0554205153135634,Football
100,2023-05-04 04:05:42,2023-05-07 04:00:00,Exeter,Morecambe,Pinnacle,AH1,0.5,1.636,92.71,win,Bet365,2,,3.25,46.67,loss,,,,0.0,0.0,,12.29,8.82,12.29,0.08817620892524035,Soccer
101,2023-05-04 04:10:13,2023-05-07 04:00:00,AaB,AC Horsens,Pinnacle,AH1,-3.0,2.26,15.89,win,Bet365,AH2,3.0,1.95,18.42,loss,,,,0.0,0.0,,1.6,4.68,1.6,0.046633634508889535,Soccer
102,2023-05-04 04:13:10,2023-05-07 04:00:00,Port Vale,Plymouth,Bet365,EH2,-1.0,2.05,13.83,loss,Bet365,AH2,-0.5,1.75,23.33,loss,Pinnacle,AH1,1.0,2.44,28.35,win,-19.14,-31.93,3.66,0.05586933292627081,Soccer
103,2023-05-04 04:15:22,2023-05-07 04:06:00,Leon,Atletico San Luis,Pinnacle,AH1,-3.5,2.3,15.62,win,Bet365,AH2,3.5,1.95,18.42,loss,,,,0.0,0.0,,1.89,5.54,1.89,0.055522914218566394,Soccer
104,2023-05-04 04:19:46,2023-05-04 04:00:00,Ulaanbaatar City FC,Khoromkhon Klub,Bet365,DNB2,,5.0,4.38,loss,BetFair,DNB1,,1.35,16.3,win,,,,0.0,0.0,,1.3,6.3,1.33,0.0643133462282398,Football
105,2023-05-04 04:40:18,2023-05-04 14:30:00,Girona FC,RCD Mallorca,Bet365,TO,5.0,2.025,11.9,loss,FavBet,TU,5.0,2.27,10.63,win,,,,0.0,0.0,,1.57,7.04,1.6,0.0710164225477141,Soccer
106,2023-05-04 04:44:40,2023-05-05 04:30:00,Naft Masjed Soleyman,Sepahan,Pinnacle,AH1,1.0,2.38,19.4,loss,FavBet,AH2,-1.0,1.95,23.68,win,,,,0.0,0.0,,3.09,7.18,3.1,0.07195914577530177,Soccer
